Trial Number,Params,Objective Value
68,"TEST:X0: 1.5064465863597953, TEST:X1: 1.2196200131736121, TEST:X2: 0.9611354350025364, TEST:X3: 0.8865558886154845",1.5426127965641117
69,"TEST:X0: 1.0684106385984, TEST:X1: 1.022348749425098, TEST:X2: 0.8499516837496159, TEST:X3: 0.7514754299027337",1.675991509383748
70,"TEST:X0: 1.9999999999999998, TEST:X1: 1.4867542734318684, TEST:X2: 0.0, TEST:X3: 0.0",10.283703687396851
71,"TEST:X0: 1.7688737413998932, TEST:X1: 1.369985042469633, TEST:X2: 0.17952744306190854, TEST:X3: 0.0",7.680821525152522
72,"TEST:X0: 0.815331356701427, TEST:X1: 0.8828980311621638, TEST:X2: 0.9984664719191606, TEST:X3: 1.0339557018847265",7.680632211633342
73,"TEST:X0: 1.9999999999999998, TEST:X1: 1.476728687081113, TEST:X2: 0.25466634403120036, TEST:X3: 0.0",9.156605316084786
74,"TEST:X0: 1.1468721245515738, TEST:X1: 1.0993948926673267, TEST:X2: 0.0, TEST:X3: 0.0",10.635110801143423
75,"TEST:X0: 0.7391386823806301, TEST:X1: 0.9064345354613881, TEST:X2: 0.7083010811740887, TEST:X3: 0.5206684502969241",5.162873943353573
76,"TEST:X0: 0.9733429437530037, TEST:X1: 1.0179621982559433, TEST:X2: 0.21903711850885402, TEST:X3: 0.0",11.961063296537343
77,"TEST:X0: 1.5755600726184447, TEST:X1: 1.2400088306056385, TEST:X2: 0.8802028355211347, TEST:X3: 0.817989071095905",1.7091744789696088
78,"TEST:X0: 1.0080102559063524, TEST:X1: 1.0236768384054271, TEST:X2: 0.9553784892059132, TEST:X3: 0.9232266178934239",1.20041506396518
79,"TEST:X0: 1.37900308224835, TEST:X1: 1.1826888883799203, TEST:X2: 0.6199749192654024, TEST:X3: 0.46136172363733635",3.1794328200750632
80,"TEST:X0: 0.5902153550881045, TEST:X1: 0.833034937233748, TEST:X2: 0.9180379715543543, TEST:X3: 0.8697238055815525",3.1995334281495698
81,"TEST:X0: 1.9999999999999998, TEST:X1: 1.0529273969347155, TEST:X2: 1.6981791700702347, TEST:X3: 1.9999999999999998",163.41438343767692
82,"TEST:X0: 0.0, TEST:X1: 0.6221651922785943, TEST:X2: 1.1953940057379169, TEST:X3: 1.9999999999999998",50.42976046895299
83,"TEST:X0: 0.6491012903552115, TEST:X1: 0.847677081361166, TEST:X2: 1.1292711659454808, TEST:X3: 1.3107133398505069",2.0077927069541017
84,"TEST:X0: 1.7987478367257768, TEST:X1: 1.3650071921144475, TEST:X2: 0.7415679029166781, TEST:X3: 0.5449944017939664",2.2712470122153716
85,"TEST:X0: 0.6720225626118377, TEST:X1: 0.8177313544730325, TEST:X2: 1.3566502987858045, TEST:X3: 1.9999999999999998",10.351899820613664
86,"TEST:X0: 0.6237648801714558, TEST:X1: 0.8025719438044885, TEST:X2: 1.2093764336639035, TEST:X3: 1.5385851271704758",2.964468498065754
87,"TEST:X0: 0.9919589082370447, TEST:X1: 0.9965387950606633, TEST:X2: 1.0625258036111327, TEST:X3: 1.0950172472474518",1.192524446005778
88,"TEST:X0: 1.0976533021300678, TEST:X1: 1.0444837843561279, TEST:X2: 1.0012184228417904, TEST:X3: 0.9859781061541338",1.0480004947588837
89,"TEST:X0: 0.7967227016156854, TEST:X1: 0.9055345209474045, TEST:X2: 1.1094495205483308, TEST:X3: 1.218263017402132",1.2848592421674567
90,"TEST:X0: 1.0020048464257438, TEST:X1: 1.0051497392415183, TEST:X2: 1.0203922111848656, TEST:X3: 1.0104827042896876",1.0948045397007515
91,"TEST:X0: 0.7522835611830835, TEST:X1: 0.8806984709298495, TEST:X2: 1.1124883081285903, TEST:X3: 1.2369777853408055",1.279746920544743
92,"TEST:X0: 1.1282453593030282, TEST:X1: 1.0581515518121014, TEST:X2: 0.9906725422155047, TEST:X3: 0.9691915596114964",1.0457846545064624
93,"TEST:X0: 1.0052952907522985, TEST:X1: 1.0142806691968127, TEST:X2: 0.9566152827524275, TEST:X3: 0.9043398739649282",1.1347627897732178
94,"TEST:X0: 0.9855326434052526, TEST:X1: 0.9909847675032531, TEST:X2: 1.063965502452174, TEST:X3: 1.0988527546050755",1.1865498287926624
95,"TEST:X0: 0.6173803287316587, TEST:X1: 0.8056030456181424, TEST:X2: 1.0867572807863344, TEST:X3: 1.171943354910377",1.2797137586698946
96,"TEST:X0: 0.0, TEST:X1: 0.0, TEST:X2: 0.0, TEST:X3: 1.9999999999999998",363.40000761284153
97,"TEST:X0: 1.2161041413716198, TEST:X1: 1.1089537953299782, TEST:X2: 0.852799324949754, TEST:X3: 0.7467297934499721",1.3426086714540773
98,"TEST:X0: 0.0, TEST:X1: 0.35782917287982924, TEST:X2: 0.883694626856169, TEST:X3: 0.9681666856440818",11.388673765963027
99,"TEST:X0: 1.9999999999999998, TEST:X1: 1.4169209044698188, TEST:X2: 0.6054132916363679, TEST:X3: 0.38837887213220984",2.689301774288529
